SYMBOL,overall_score,affected_pathway_score,animal_model_score,genetic_association_score,literature_score,rna_expression_score,somatic_mutation_score,druggability_score_smallmolecule,druggability_score_other_modalities,druggability_score_antibody
MCM4,0.2443513194997124,0.09318858742812934,0.08448894992190119,0.07327948551894223,0.013112759891771871,0.0022413054505157426,0.0,0.7000000000000002,0.0,0.0
DONSON,0.04466986395120267,0.0,0.0,0.026015880641015555,0.018630904240628646,0.001016224629395574,0.0,0.0,0.0,0.0
CASP10,0.31721764156087023,0.17655214642997752,0.0,0.1375617873275512,0.018552704197546642,0.0010630518641656418,0.0625,0.7999999999999999,0.0,0.0
CRTC3,0.2945415678341695,0.0,0.019422261597938143,0.03719942877422632,0.0040451311314929185,0.00027784106244964693,0.24350216858650675,0.0,0.0,0.0
IGHM,0.19193078140624245,0.0,0.15235595065080415,0.0410958904109589,0.0033986433290087163,0.010215950692605915,0.0,0.0,0.0,0.35
HFM1,0.21599743958101408,0.0,0.0906755018356549,0.1275072458913678,0.0021584391534391536,0.0019623109016103295,0.0,0.0,0.0,0.0
IL3RA,0.197594489822882,0.0957882432084552,0.0,0.0,0.0199865028506246,0.0024010258595293602,0.0,0.7000000000000003,1.0,0.6333333333333334
KAT2A,0.174459564454672,0.08688814854153648,0.05985429593762132,0.012277781143527828,0.019201787239281103,0.0003990341572040365,0.0,0.5833333333333335,0.0,0.0
IL2,0.1105464752885126,0.004550774520675898,0.03788426791960671,0.019144185917986167,0.03755259684172495,5.303394450907498e-05,0.0324300238295262,0.5666666666666667,0.0,0.4666666666666667
GPR65,0.16920297621786387,0.03712177908008811,0.003478101265822785,0.13031445969286928,0.016444860433927,0.0031485231942889108,0.0,0.3,0.0,0.4666666666666666
AL590132.1,0.5536214859623995,0.0,0.0,0.5536214859623995,0.0,0.0,0.0,0.0,0.0,0.0
APOBEC3B,0.40184256839582216,0.013451993379779571,0.0148702057999058,0.008248574833369113,0.02923727794809668,0.0023337098147726285,0.3698224852071006,0.7000000000000001,0.0,0.0
